Child Number (ID),First Name,Last Name,Sex,Birthdate,Grade Level,Address,Name (Guardian 1),Relation (Guardian 1),Contact Number (Guardian 1),Email (Guardian 1),Name (Guardian 2),Relation (Guardian 2),Contact Number (Guardian 2),Email (Guardian 2),Name (Guardian 3),Relation (Guardian 3),Contact Number (Guardian 3),Email (Guardian 3)
,Mark Anthony,Lontoc-sy,M,7/23/1926,6,"4421 Azalea Drive, Cagayan de Oro, 9704 Misamis Oriental",Kevin Neal,Grandmother,09195296038,robertsonrebecca@sdkgroup.org,,,,,,,,
2,John Lester,Sison-quijano,,6/20/2014,5,"7872 C 71st Avenue, Lake Sebu, 7377 Sulu",Trevor Williams,Grandfather,09276499786,susan71@gmail.com,,,,,,,,
14,Kristine,Monteclaro,F,1/9/2018,7,"855 Tindalo Expressway, Quezon City, 1569 Metro Manila",Jose Harris,Uncle,09473067057,melindafitzgerald@ctj.ph,,,,,,,,
10,Christian Jay,Dayrit-liu,M,11/7/2015,8,"B11 L58 Palali Estates 8, 55th Avenue, Siruma, 9489 Lanao del Norte",Luis Singh,Grandfather,09413704655,mpitts@ttby.org,,,,,,,,
,Bea,Ongpauco,F,4/17/2017,7,,Tabitha Gilmore,Brother,09294204677,teresa98@rtholdings.net,,,,,,,,
,Trisha,Mabanta,F,11/15/2011,5,"2016 Malugay Street, Banaybanay, 4324 Bulacan",Willie Kelly,Brother,09846524806,parkrobert@erholdings.net.ph,,,,,,,,
11,Alyssa,Gatmaitan,F,1/27/2007,12,"3981 Orchid Street, Planet Village Phase 6, Mapandan, 5232 Cagayan",,,,,,,,,,,,
17,Ellaine,Ynares,F,3/15/2011,6,"2927 Reyes Street, Aranga Subdivision 6, Antipas, 9221 Agusan del Sur",Mr. Jonathan Frost Jr.,Mother,09910845109,pmathis@tlwn.org,,,,,,,,
18,Carlo,Go-manlapig,M,4/28/2014,4,"7253 Unit E 90th Avenue, Jabonga, 8851 Cotabato",Amy Stewart,Father,09301140732,hernandezdaniel@trancrown.com,,,,,,,,
16,Lance Gabriel,Reyes-cheng,M,8/5/2008,6,"6150 Sunstone Street, Earth Estates, Itogon, 9839 Surigao del Norte",Cindy Zimmerman,Aunt,09688328848,bwarren@zohomail.com,,,,,,,,
6,James Kyle,Chua-santiago,M,5/24/2013,11,"2161 73rd Street, Carter Estates, Las Piñas, 1547 Metro Manila",Rebecca Allen,Aunt,09550087486,kallen@gcsenterprise.ph,,,,,,,,
